file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_d99c7b13-c3a8-489,orf_eng,36.0,44.0,5,59,speechace-29s,8,28,0.2857142857142857,28,200,50,7
AA_de08d551-d829-448,idwrd_eng,13.0,16.0,8,49,speechace-29s,6,48,0.16666666666666666,48,200,43,0
AA_de08d551-d829-448,orf_eng,20.0,23.0,0,59,speechace-29s,8,23,0.43478260869565216,23,200,50,1
AA_df7b47e1-1bc3-45c,idwrd_eng,42.0,50.0,22,49,speechace-29s,10,29,0.3793103448275862,29,200,41,16
AA_df7b47e1-1bc3-45c,orf_eng,53.0,57.0,44,51,speechace-29s,13,26,0.5,26,200,24,20
AA_dff96b36-bded-45d,idwrd_eng,16.0,23.0,13,24,speechace-29s,6,15,0.6666666666666666,15,200,30,6
AA_dff96b36-bded-45d,orf_eng,15.0,22.0,5,59,speechace-29s,5,21,0.5238095238095238,21,200,47,4
AA_e2237f3f-eb26-4b7,idwrd_eng,48.0,50.0,37,49,speechace-29s,14,34,0.38235294117647056,34,200,47,22
AA_e2237f3f-eb26-4b7,orf_eng,56.0,60.0,38,59,speechace-29s,9,30,0.36666666666666664,30,200,32,22
AA_e323a748-9ded-40c,idwrd_eng,45.0,50.0,36,49,speechace-29s,10,30,0.36666666666666664,30,200,29,25
AA_e323a748-9ded-40c,orf_eng,55.0,60.0,12,59,speechace-29s,6,17,0.35294117647058826,17,200,55,8
AA_e754feee-6c35-40c,idwrd_eng,7.0,17.0,4,49,speechace-29s,3,41,0.3902439024390244,41,200,32,0
AA_e754feee-6c35-40c,orf_eng,16.0,22.0,6,59,speechace-29s,3,16,0.5,16,200,41,5
AA_e87962ab-1398-4ca,idwrd_eng,9.0,17.0,6,49,speechace-29s,2,18,0.4444444444444444,18,200,23,6
AA_e87962ab-1398-4ca,orf_eng,0.0,5.0,0,59,speechace-29s,6,59,0.15254237288135594,59,200,54,0
AA_e9ef5a5c-fae0-45a,idwrd_eng,1.0,6.0,1,49,speechace-29s,1,6,0.6666666666666666,6,200,44,0
AA_eaf07843-14a1-4e9,idwrd_eng,35.0,38.0,9,49,speechace-29s,8,19,0.5789473684210527,19,200,44,3
AA_eaf07843-14a1-4e9,orf_eng,36.0,43.0,7,59,speechace-29s,5,23,0.21739130434782608,23,200,51,7
AA_eb127efb-92a9-4eb,idwrd_eng,1.0,6.0,2,25,speechace-29s,3,5,0.4,5,200,20,2
AA_eb127efb-92a9-4eb,orf_eng,1.0,6.0,0,59,speechace-29s,3,11,0.5454545454545454,11,200,54,0
AA_eb788e8a-917d-490,idwrd_eng,50.0,50.0,41,49,speechace-29s,8,45,0.17777777777777778,45,200,49,28
AA_eb788e8a-917d-490,orf_eng,60.0,60.0,47,59,speechace-29s,14,55,0.2545454545454545,55,200,59,36
AA_ece27ef7-9e9e-418,idwrd_eng,18.0,32.0,10,46,speechace-29s,4,13,0.46153846153846156,13,200,14,7
AA_ece27ef7-9e9e-418,orf_eng,0.0,5.0,5,59,speechace-29s,5,15,0.4,15,200,54,5
AA_f23c9f69-858b-47c,idwrd_eng,0.0,5.0,0,49,speechace-29s,3,31,0.25806451612903225,31,200,44,0
AA_f3176f60-2162-435,idwrd_eng,0.0,5.0,1,49,speechace-29s,0,9,0.5555555555555556,9,200,44,1
AA_f3176f60-2162-435,orf_eng,0.0,5.0,4,59,speechace-29s,5,21,0.38095238095238093,21,200,54,4
AA_f7082921-2c6b-414,idwrd_eng,0.0,5.0,0,49,speechace-29s,0,5,1.0,5,200,44,0
AA_f9c6d56f-7ca9-4ff,idwrd_eng,48.0,50.0,37,49,speechace-29s,33,47,0.6808510638297872,47,200,47,37
AA_f9c6d56f-7ca9-4ff,orf_eng,57.0,60.0,41,59,speechace-29s,23,36,0.6388888888888888,36,200,57,32
AA_fb785d2a-c665-4f3,idwrd_eng,46.0,50.0,3,49,speechace-29s,3,20,0.15,20,200,45,3
AA_fb785d2a-c665-4f3,orf_eng,53.0,60.0,2,59,speechace-29s,13,36,0.4444444444444444,36,200,53,5
